Code,Name,PER,PBR,ROE
1301,極洋,8.496199,0.78581506,
1332,ニッスイ,14.992025,1.4053748,0.1066
1333,マルハニチロ,9.746844,0.8922302,0.08513
1375,ユキグニファクトリー,50.0,2.8989244,0.1008
1376,カネコ種苗,12.641997,0.63042694,0.05158
1377,サカタのタネ,15.772929,1.0292054,0.06309
1379,ホクト,10.834138,0.9629297,0.107080005
1380,秋川牧園,44.642082,1.9307047,0.060229998
1381,アクシーズ,9.775134,0.97547317,0.10371
1382,ホーブ,,1.794326,-0.00958
1383,ベルグアース,109.90099,2.8452663,0.052800003
1384,ホクリヨウ,7.9618926,2.3776653,0.11241999
1401,エムビーエス,19.012447,2.5843973,0.14208001
1407,ウエストホールディングス,17.182104,2.583556,0.16049999
1414,ショーボンドホールディングス,19.1203,2.6410255,0.1387
1417,ミライト・ワン,16.750122,1.2738484,0.08816
1418,インターライフホールディングス,10.582307,1.8500513,0.18628
1419,タマホーム,42.732487,4.0090027,0.102110006
1420,サンヨーホームズ,6.6486316,0.49447525,0.0348
1429,日本アクア,11.778563,1.9382689,0.17089
1430,ファーストコーポレーション,10.604193,1.3065403,0.15008001
1431,Ｌｉｂ　Ｗｏｒｋ,66.22449,3.27609,0.046090003
1433,ベステラ,18.762157,1.7417998,0.12053
1434,ＪＥＳＣＯホールディングス,10.638297,2.0099916,0.20259
1435,ｒｏｂｏｔ　ｈｏｍｅ,10.031631,1.7875403,0.19448
1436,グリーンエナジー＆カンパニー,50.760803,3.1064506,0.08981
1438,岐阜造園,15.848385,1.4045482,0.11375
1443,技研ホールディングス,8.103727,0.39447835,0.05262
1444,ニッソウ,,1.8676234,-0.026889998
1446,キャンディル,24.63426,1.6442187,0.07326
1447,ＳＡＡＦホールディングス,35.32669,7.1454167,0.1174
1450,ＴＡＮＡＫＥＮ,8.880995,1.4798825,0.17764
1491,中外鉱業,12.5,1.5072078,0.15832
1514,住石ホールディングス,15.925014,1.8110442,0.11983
1515,日鉄鉱業,21.833641,1.4181737,0.07014
1518,三井松島ホールディングス,6.8729367,1.011552,0.18361999
1605,ＩＮＰＥＸ,12.04801,0.97828937,0.08457
1662,石油資源開発,6.9203334,1.0648909,0.084139995
1663,Ｋ＆Ｏエナジーグループ,16.611296,1.3164747,0.088690005
1711,ＳＤＳホールディングス,,4.751357,-0.069510005
1716,第一カッター興業,9.784684,0.8458132,0.08911
1717,明豊ファシリティワークス,12.135569,1.9898219,0.17406
1718,美樹工業,5.0761423,0.46318763,0.0929
1719,安藤・間,11.628251,1.6401129,
1720,東急建設,13.889434,1.4339014,0.11707
1721,コムシスホールディングス,20.0,1.6395621,0.08924
1723,日本電技,20.533949,3.5847502,0.15873
1724,シンクレイヤ,14.123968,1.337642,0.25195
1726,ビーアールホールディングス,20.831684,1.5535884,0.080340005
